timestamp_utc,portfolio_value,action,submit_orders
2026-05-12T10:01:28.663755+00:00,1000000.0,risk_gate_off_flat,True
2026-05-12T10:26:38.404659+00:00,1000000.0,risk_gate_off_flat,True
2026-05-12T20:04:02.964026+00:00,1000000.0,risk_gate_off_flat,False
2026-05-12T20:06:52.303355+00:00,1000000.0,risk_gate_off_flat,True
2026-05-13T04:13:53.425296+00:00,1000000.0,risk_gate_off_flat,True
2026-05-13T11:28:48.340692+00:00,1000000.0,risk_gate_off_flat,True
2026-05-13T20:09:24.894551+00:00,1000000.0,risk_gate_off_flat,True
2026-05-14T03:52:10.182402+00:00,1000000.0,risk_gate_off_flat,True
2026-05-14T04:13:58.041607+00:00,1000000.0,risk_gate_off_flat,True
2026-05-14T17:09:01.648948+00:00,1000000.0,risk_gate_off_flat,True
2026-05-14T20:28:58.406268+00:00,1000000.0,risk_gate_off_flat,False
2026-05-15T04:19:17.496854+00:00,1000000.0,risk_gate_off_flat,True
